"Kerncijfers wijken en buurten 2024"
""
"";"";"Wijken en buurten"
"Onderwerp";"";"Nederland";"Zaanstad";"Zaandam Zuid";"Vijfhoekpark";"Achtersluispolder";"Bomenbuurt Oost";"Bomenbuurt";"Burgemeestersbuurt";"Prins Hendrikbuurt";"Poelenburg";"Vennenbuurt";"Poelenburg Noord";"Poelenburg Zuid";"Pelders- en Hoornseveld";"Peldersveld West";"Peldersveld Oost";"Hoornseveld";"Kleurenbuurt";"Rosmolenwijk";"Rosmolenbuurt Oost";"Rosmolenbuurt West";"Kogerveldwijk";"Oostzijderveld";"Kogerveld";"Boerejonkerbuurt";"Hofwijk";"Zaandam Noord";"Kalf Noord";"Kalf";"Zaanse Schans";"Oude Haven";"Havenbuurt";"Hembrugterrein";"Zuiderhout Noord";"Zuiderhout";"Het Eiland";"Russische buurt";"Zaandam West";"Oud West";"Spoorbuurt";"Schilders- en Waddenbuurt";"Nieuw West";"Westerspoor";"Westzanerdijk";"Westzijderveld Zuid";"Zaans Hout";"Westzijderveld Midden";"Westerwatering Noord";"Westerwatering Zuid";"Oud Koog a/d Zaan";"Oud Koog";"Westerkoog";"Westzijderveld Noord";"Westerkoog Midden";"Westerkoog Oost";"Oud Zaandijk";"Oud Zaandijk";"Rooswijk";"Rooswijk";"Rooswijk Noord";"Guisveld Zuid";"Wormerveer";"Wormerveer Zuid";"Guisveld";"Wormerveer Centrum";"Wormerveer Noord";"Wormerveer West";"Karnemelksepolder";"Westknollendam";"Industriebuurt";"Krommenie Oost";"Zuiderhoofdbuurt";"Noorderhoofdbuurt";"Snuiverbuurt";"Rosariumbuurt";"Krommenie West";"Zuiderham";"Noorderham";"Krommeniedijk";"Willis";"Assendelft-Zuid";"De Zuid";"Centrum";"Westerpolder";"Assendelft-Noord";"Noorderveen";"Waterrijk West";"Waterrijk";"Langeheit Oost";"Langeheit West";"De Omzoom";"Kreekrijk";"Parkrijk Zuid";"Parkrijk Noord";"Westzaan";"Westzanerpolder";"Westzaan Zuid";"J.J. Allanbuurt";"Westzaan Noord";"Middel"
"Regioaanduiding|Gemeentenaam";"naam";"Nederland";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad";"Zaanstad"
"Regioaanduiding|Soort regio";"omschrijving";"Land";"Gemeente";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt";"Buurt";"Buurt";"Buurt"
"Regioaanduiding|Codering";"code";"NL00";"GM0479";"WK047911";"BU04791111";"BU04791112";"BU04791121";"BU04791122";"BU04791131";"BU04791132";"WK047912";"BU04791211";"BU04791212";"BU04791213";"WK047913";"BU04791311";"BU04791312";"BU04791321";"BU04791322";"WK047914";"BU04791411";"BU04791412";"WK047915";"BU04791511";"BU04791512";"BU04791521";"BU04791522";"WK047916";"BU04791611";"BU04791612";"BU04791620";"WK047921";"BU04792111";"BU04792112";"BU04792121";"BU04792122";"BU04792130";"BU04792140";"WK047922";"BU04792210";"BU04792220";"BU04792230";"WK047923";"BU04792311";"BU04792312";"BU04792313";"BU04792314";"BU04792321";"BU04792322";"BU04792323";"WK047931";"BU04793110";"WK047932";"BU04793211";"BU04793212";"BU04793213";"WK047941";"BU04794110";"WK047942";"BU04794211";"BU04794212";"BU04794213";"WK047951";"BU04795110";"BU04795120";"BU04795131";"BU04795132";"BU04795133";"BU04795140";"BU04795150";"BU04795160";"WK047961";"BU04796110";"BU04796120";"BU04796130";"BU04796140";"WK047962";"BU04796210";"BU04796220";"BU04796230";"BU04796240";"WK047971";"BU04797110";"BU04797120";"BU04797130";"WK047972";"BU04797211";"BU04797212";"BU04797213";"BU04797221";"BU04797222";"BU04797231";"BU04797232";"BU04797233";"BU04797234";"WK047981";"BU04798110";"BU04798120";"BU04798130";"BU04798140";"BU04798150"
"Regioaanduiding|Indelingswijziging gemeente, wijk, buurt";"code";".";"1";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"1";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3"
"Bevolking|Aantal inwoners";"aantal";"17942942";"161389";"13795";"50";"465";"2580";"3975";"3800";"2925";"8665";"1625";"3030";"4010";"11275";"2605";"3250";"3545";"1875";"8550";"2560";"5985";"5125";"345";"3365";"290";"1125";"6500";"2295";"3800";"405";"5085";"810";"175";"30";"65";"1275";"2730";"9090";"5150";"860";"3080";"13380";"0";"1455";"20";"3285";"0";"3775";"4850";"4915";"4910";"6345";"0";"2630";"3710";"2985";"2985";"5535";"2510";"3025";"0";"12870";"3815";"0";"3420";"3075";"1450";"385";"445";"275";"8195";"1990";"2295";"2675";"1230";"9135";"3040";"3390";"480";"2230";"7720";"1460";"6130";"130";"17145";"420";"2015";"3270";"115";"1135";"70";"780";"4545";"4795";"5090";"615";"1275";"660";"2440";"105"
"Bevolking|Geslacht|Mannen";"aantal";"8920768";"80162";"6980";"25";"370";"1260";"2020";"1875";"1425";"4210";"800";"1450";"1960";"5365";"1295";"1495";"1735";"840";"4230";"1240";"2990";"2600";"180";"1725";"150";"555";"3195";"1110";"1885";"205";"2590";"415";"90";"15";"35";"640";"1395";"4640";"2595";"460";"1585";"6735";"0";"725";"10";"1650";"0";"1905";"2445";"2485";"2485";"3065";"0";"1305";"1755";"1555";"1555";"2670";"1185";"1485";"0";"6290";"1940";"0";"1665";"1445";"655";"205";"230";"160";"4005";"1005";"1145";"1320";"540";"4470";"1430";"1670";"235";"1145";"3870";"740";"3065";"65";"8560";"225";"1030";"1620";"65";"560";"35";"380";"2230";"2405";"2640";"445";"610";"335";"1205";"45"
"Bevolking|Geslacht|Vrouwen";"aantal";"9022174";"81227";"6810";"20";"90";"1325";"1955";"1930";"1495";"4455";"825";"1585";"2050";"5910";"1310";"1760";"1810";"1035";"4320";"1325";"2995";"2520";"170";"1640";"145";"570";"3310";"1190";"1915";"205";"2495";"395";"90";"20";"30";"635";"1330";"4445";"2555";"395";"1495";"6645";"0";"730";"10";"1635";"0";"1870";"2400";"2430";"2430";"3280";"0";"1320";"1960";"1425";"1425";"2860";"1320";"1535";"0";"6580";"1875";"0";"1755";"1630";"800";"175";"225";"120";"4185";"995";"1150";"1355";"690";"4660";"1610";"1720";"245";"1090";"3850";"725";"3065";"65";"8585";"200";"990";"1650";"55";"570";"30";"400";"2315";"2390";"2450";"170";"660";"320";"1235";"55"
"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"aantal";"2714040";"25971";"2420";"0";"5";"555";"765";"670";"430";"1735";"285";"660";"795";"2030";"485";"635";"490";"420";"1315";"450";"865";"845";"25";"570";"40";"200";"880";"250";"580";"45";"660";"130";"40";"0";"10";"160";"325";"1225";"660";"100";"465";"2065";"0";"240";"0";"540";"0";"550";"730";"735";"735";"880";"0";"350";"525";"400";"395";"780";"440";"340";"0";"1850";"495";"0";"465";"595";"145";"70";"65";"25";"1155";"220";"315";"475";"145";"1410";"430";"590";"60";"325";"1150";"215";"910";"25";"3760";"50";"390";"510";"15";"195";"15";"255";"1190";"1130";"680";"45";"225";"85";"315";"5"
"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"aantal";"2202159";"18568";"1550";"5";"90";"315";"440";"395";"300";"1160";"135";"435";"585";"1250";"320";"420";"305";"210";"790";"210";"580";"645";"40";"430";"30";"145";"615";"215";"370";"35";"555";"75";"15";"0";"5";"175";"280";"1060";"615";"85";"365";"1435";"0";"150";"5";"305";"0";"390";"585";"580";"580";"635";"0";"300";"335";"280";"280";"680";"300";"375";"0";"1360";"385";"0";"375";"330";"125";"60";"50";"35";"790";"215";"205";"265";"110";"1185";"340";"390";"60";"390";"860";"150";"690";"15";"2560";"55";"350";"560";"10";"145";"5";"100";"705";"620";"575";"85";"125";"85";"260";"20"
"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"aantal";"4586399";"43063";"4300";"5";"275";"690";"1265";"1120";"955";"2555";"420";"900";"1230";"2910";"675";"970";"750";"515";"2550";"770";"1785";"1705";"230";"1085";"80";"315";"1395";"490";"835";"70";"1520";"230";"35";"10";"15";"190";"1045";"2790";"1690";"250";"845";"4005";"0";"340";"10";"1520";"0";"850";"1285";"1435";"1435";"1225";"0";"540";"685";"785";"785";"1105";"550";"550";"0";"3585";"1150";"5";"930";"875";"345";"105";"95";"75";"2055";"515";"600";"675";"265";"1770";"535";"820";"60";"350";"1740";"355";"1355";"30";"4480";"95";"475";"680";"35";"255";"20";"260";"1200";"1465";"1150";"250";"330";"110";"445";"20"
